,japanese,English
1575,過ぎる,"sugiru - pass by, go past"
1576,正確,"seikaku - accurate, precise"
1577,戦争,sensou - war between countries
1578,放送,housou - broadcasting
1579,習慣,"shuukan - custom, habit"
1580,フィルム,fuirumu - film
1581,受け付ける,"uketsukeru - receive, accept"
1582,ダンス,"dansu - dance, dancing (loan word)"
1583,こんなに,"konnani - this much, such"
1584,吹く,"fuku - blow, play (a wind instrument)"
1585,まあ,Maa - well (interjection)
1586,メール,me-ru - e-mail
1587,インターネット,inta-netto - Internet
1588,出身,"shusshin - come from, origin"
1589,職業,"shokugyou - occupation, job"
1590,スター,suta- - star
1591,くだらない,"kudaranai - worthless, trifling"
1592,名簿,Meibo - name list
1593,通常,"Tsuujou - common, usually, typically"
1594,家内,kanai - one’s wife
1595,消防署,Shoubousho - fire station
1596,再び,"Futatabi - again, a second time"
1597,大統領,Daitouryou - president (of a country)
1598,入場券,Nyuujouken - entrance ticket
1599,ネックレス,nekkuresu - necklace
1600,パジャマ,pajama - pajamas
1601,ボールペン,Borupen - ballpoint pen
1602,かゆい,kayui - itchy
1603,覚ます,"samasu - awaken, wake up"
1604,すいか,Suika - watermelon
1605,そば,Soba - buckwheat noodles
1606,特急,tokkyuu - super-express
1607,のり,"Nori - glue, starch"
1608,大抵,"たいてい - generally, mostly"
1609,バスケットボール,basukettobo-ru - basketball
1610,酔っ払う,yopparau - get drunk
1611,どきどき,"Dokidoki - feel excited, feel nervous"
1612,欲しがる,"hoshigaru - want, desire (of the third person)"
1613,早起き,Hayaoki - getting up early
1614,味噌汁,misoshiru - miso soup
1615,読み方,"yomikata - how to read, way of reading"
1616,入り口,iriguchi - entrance
1617,降ろす,"orosu - unload, set down"
1618,掛かる,kakaru - hang
1619,サンドイッチ,sandoicchi - sandwich
1620,四角い,Shikakui - square-shaped
1621,突き当たる,"tsukiataru - run into, come to the end (of a road)"
1622,乾かす,kawakasu - dry (something)
1623,定期券,Teikiken - commuter pass
1624,にこにこ,"nikoniko - smilingly, keep smiling"
1625,下る,"kudaru - go down, go away from"
1626,ウール,wu-ru - wool
1627,コーラ,"ko-ra - cola, coke"
1628,トイレットペーパー,Toirettopepa - toilet paper
1629,乗り換え,"norikae - transfer, change (trains)"
1630,灰皿,haizara - ashtray
1631,ハム,hamu - ham
1632,床,yuka - floor
1633,ローマ字,Ro-maji - Roman alphabet
1634,いちご,ichigo - strawberry
1635,カレーライス,kareaisu - curry rice
1636,キャッシュカード,Kyasshukado - cash card
1637,停留所,teiryuujo - (bus) stop
1638,床屋,"tokoya - barber, barbershop"
1639,歯磨き,hamigaki - brushing one’s teeth
1640,夕飯,"ゆうはん - evening meal, dinner"
1641,酔っ払い,"yopparai - drunkard, drunk"
1642,例,Rei - example
1643,お辞儀,Ojigi - bow
1644,横断歩道,"Oudan hodou - pedestrian crossing, crosswalk"
1645,ぐらぐら,"guragura - shaky, unstable"
1646,航空便,"Koukuubin - airmail, airfreight"
1647,ジャム,Jamu - jam
1648,スリッパ,Surippa - slippers
1649,畳む,"tatamu - fold, shut, close"
1650,トランプ,toranpu - playing cards
1651,日陰,hikage - shade of the sun
1652,文房具,"bunbougu - stationery, writing materials"
1653,免許証,menkyoshou - license
1654,訳す,yakusu - translate
1655,よろしい,yoroshii - all right
1656,両替,ryougae - money exchange
1657,片付く,"kataduku - be put in order, be finished"
1658,カップ,kappu - cup
1659,消しゴム,keshigomi - eraser
1660,スケート,"suketo - skate, skates"
1661,鍋,nabe - pan
1662,寝坊,nebou - oversleeping
1663,鋏,hasami - scissors
1664,真っ青,"massao - deep-blue, pale"
1665,汚す,yogosu - make (something) dirty
1666,忘れ物,"wasuremono - something left behind, lost item"
1667,掛け算,kakezan - multiplication
1668,臭い,kusai - stinky
1669,突き当たり,tsukiatari - end of a street
1670,マフラー,"mafura- - scarf, muffler"
1671,桃,momo - peach
1672,アクセサリー,"akusesari- - accessories, jewelry"
1673,あくび,akubi - yawn
1674,あめ,ame - candy
1675,上り,"nobori - going up, ascent"
1676,なるべく,"narubeku - as…as possible, if possible"
1677,じっと,"jitto - without moving, still"
1678,食器,shokki - tableware
1679,延ばす,"nobasu - extend, postpone"
1680,薬局,"yakkyoku - drugstore, pharmacy"
1681,雄,osu - male (animal)
1682,雌,mesu - female (animal)
1683,和風,wafuu - Japanese inspired
1684,いびき,ibiki - snoring
1685,ピクニック,pikunikku - picnic
1686,地域,"chiiki - region, area"
1687,勘違い,"kanchigai - misunderstanding, wrong idea or assumption"
1688,重要,"juuyou - important, essential"
1689,主人,"shujin - one’s husband, master"
1690,お宅,otaku - (someone else’s) home
1691,ハイキング,haikingu - hiking
1692,畑,"hatake - field, farm"
1693,ボーイフレンド,boifurendo - boyfriend
1694,イヤリング,iyaringu - earrings
1695,ガールフレンド,ga-rufurendo - girlfriend
1696,柔らか,"yawaraka - soft, gentle"
1697,納豆,natto - fermented soybeans
1698,別に,"Betsuni - particularly, not really"
1699,どうしても,"Doushitemo - by any means, really"
1700,父親,chichioya - father
1701,誘う,"sasou - invite, ask out"
1702,母親,"hahaoya - mother, female parent"
1703,昼前,"hirumae - in the morning, before noon"
1704,ふらふら,"furafura - be dizzy, lightheaded"
1705,こぼす,kobosu - spill (something)
1706,持ってくる,mottekuru - bring
1707,振り向く,"Furimuku - turn around, look back"
1708,洗面所,"Senmenjou - washroom, bathroom"
1709,外側,"sotogawa - exterior, outside"
1710,段々,"dandan - gradually, little by little"
1711,包む,"tsutsumu - wrap, pack"
1712,無くなる,"nakunaru - get lost, go missing"
1713,豚,buta - pig
1714,褒める,"homeru - praise, compliment"
1715,沸かす,wakasu - boil (water)
1716,暖める,atatameru - warm (something) up
1717,換える,"kaeru - exchange, convert"
1718,安っぽい,"yasuppoi - cheap-looking, tacky"
1719,ぎらぎら,"giragira - glaring, blinding"
1720,何とか,"nantoka - somehow, please"
1721,いよいよ,"iyoiyo - finally, any moment"
1722,がらがら,garagara - not crowded
1723,缶詰,kantzume - canned food
1724,怪我,kega - injury
1725,寒さ,"samusa - coldness, cold"
1726,祝日,shukujitsu - holiday
1727,すき焼き,Sukiyaki - sukiyaki
1728,葉書,hagaki - postcard
1729,掃く,haku - sweep
1730,何しろ,"nanishiro - anyhow, as you may know"
1731,どんどん,"dondon - quickly, rapidly"
1732,ぺこぺこ,"pekopeko - hungry, starving"
1733,ぺらぺら,perapera - fluently
1734,レインコート,reinkoto - raincoat
1735,アイス,aisu - ice cream (for short)
1736,塩辛い,shiokarai - salty
1737,セロテープ,serote-pu - scotch tape
1738,大幅,"oohaba - drastically, substantially"
1739,教育,Kyouiku - education
1740,工事,"Kouji - construction, repairing"
1741,担当,tantou - person in charge (of official duties)
1742,法律,Houritsu - law
1743,丸,"maru - circle, round"
1744,発表,happyo - announcement
1745,研究,"kenkyuu - research, study"
1746,一方,"ippou - one way, the other party"
1747,国内,"kokunai - domestic, internal"
1748,全体,"zentai - whole, total"
1749,後,"nochi - after, afterward"
1750,人間,ningen - human being
1751,刺身,sashimi - sliced raw fish or meat
1752,ばら,Bara - rose
1753,ねずみ,"nezumi - rat, mouse"
1754,以下,ika - below
1755,昔,"mukashi - old times, the old days"
1756,訳,"wake - reason, sense"
1757,違い,"chigai - difference, mistake"
1758,しっかり,"shikkari - mature, responsible"
1759,将来,"Shourai - future, in the future"
1760,不思議,"fushigi - mystery, wonder"
1761,決して,"kesshite - never, by no means"
1762,失敗,"shippai - failure, mistake"
1763,番,"ban - one’s turn, watch"
1764,出会う,"deau - meet, encounter"
1765,悩む,"nayamu - be troubled, suffer"
1766,汗,ase - sweat
1767,すっかり,"sukkari - all, completely"
1768,代わり,"kawari - substitution, alternative"
1769,一言,"hitokoto - single word, brief speech"
1770,豊か,"yutaka - rich, ample"
1771,接続,"setsuzoku - connection, joining"
1772,抱える,kakaeru - hold in one’s arms
1773,エンジン,enjin - engine
1774,少女,shoujo - young girl
1775,無駄,"muda - pointless, waste"
1776,自動,jidou - automatic operation
1777,先輩,"senpai - senior, superior"
1778,眺める,"nagameru - look out, gaze"
1779,書類,"Shorui - documents, papers"
1780,年月,"nengetsu - years, period of time"
1781,燃やす,moyasu - burn (something)
1782,線路,"senro - railway track, line"
1783,水着,"mizugi - bathing suit, swimsuit"
1784,可愛らしい,"kawairashii - lovely, charming"
1785,仲良し,nakayoshi - good friend
1786,梅干し,umeboshi - pickled plum
1787,ドレス,doresu - formal dress
1788,尽くす,"tsukusu - make utmost efforts, devote to"
1789,地球,chikyuu - the earth
1790,不親切,"fushinsetsu - unkind, inconsiderate"
1791,からから,"karakara - very thirsty, very dry"
1792,本箱,honbako - bookcase
1793,横書き,yokogaki - horizontal writing
1794,そば屋,sobaya - buckwheat noodle shop
1795,加工,kakou - processing
1796,実験,jikken - experiment
1797,愛する,"aisuru - love, care for"
1798,あんまり,"anmari - (not) that much, (not) so much"
1799,いきなり,"ikinari - all of a sudden, suddenly"
1800,表,"omote - front, outside"
1801,汚れ,"yogore - dirt, blot"
1802,間,"aida - interval, space between things"
1803,紫,murasaki - purple
1804,灰色,"haiiro - ash color, gray"
1805,血,chi - blood (colloquial)
1806,顎,"ago - jaw, chin"
1807,始めに,"hajimeni - in the beginning, first"
1808,暖まる,atatameru - get warm
1809,お世辞,"oseji - compliment, flattery"
1810,袋,"fukuro - bag, sack"
1811,長袖,nagasode - long sleeves
1812,半袖,hansode - short sleeves
1813,形,"katachi - shape, form"
1814,景色,keshiki - natural scenery or landscape
1815,ざあざあ,zaazaa - pouring
1816,再来月,saraigetsu - the month after next
1817,泊める,tomeru - let (someone) stay over
1818,叱る,"shikaru - scold, reprimand"
1819,騒ぐ,"sawagu - make a noise, make a racket"
1820,車道,"Shadou - road, roadway (for cars)"
1821,掃除機,Soujiki - vacuum cleaner
1822,剃る,soru - shave
1823,貼る,"haru - stick, paste, put"
1824,台,"dai - stand, table"
1825,主に,"omoni - mostly, predominantly"
1826,倒す,"taosu - knock down, overthrow"
1827,星,"hoshi - star, planet"
1828,長女,choujo - eldest daughter
1829,爪,"tsume - nail, claw"
1830,缶,"kan - can, tin"
1831,とんとん,"tonton - tapping, patting"
1832,袖,sode - sleeve
1833,濡れる,nureru - get wet
1834,パーセント,pa-sento - percent
1835,上がる,"agaru - go up, increase (in quality or quantity)"
1836,拍手,"hakushu - applause, clapping"
1837,弾く,hiku - play (instruments)
1838,ひも,"himo - laces, string"
1839,昼過ぎ,hirusugi - early afternoon
1840,船,"fune - ship, vessel"
1841,まく,"maku - scatter, sprinkle"
1842,姪,mei - niece
1843,個人,kojin - individual person
1844,歌手,kashu - singer
1845,社員,"Shain - staff member, employee"
1846,不動産屋,fudousanya - real estate agent
1847,最大,"saidai - biggest, largest"
1848,動き,"ugoki - movement, motion"
1849,事件,"jiken - affair, incident"
1850,過去,kako - the past
1851,協力,"kyouryoku - cooperation, collaboration"
1852,時期,"jiki - time, season"
1853,経つ,"tatsu - pass, elapse"
1854,雷,"kaminari - thunder, lightning"
1855,責任,sekinin - responsibility
1856,願う,"negau - wish, desire"
1857,発見,"hakken - discovery, revelation"
1858,気,"ki - spirit, temperament"
1859,美容院,byouin - hair salon
1860,状況,"joukyou - state of affairs, conditions"
1861,目的,"mokuteki - objective, purpose"
1862,企業,"kigyou - corporation, business"
1863,釣り,tsuri - fishing
1864,漫画,"manga - comics, cartoon"
1865,温泉,onsen - hot spring
1866,トレーニング,"tore-ningu - training, workout"
1867,噂,"uwasa - gossip, rumor"
1868,本物,"honmono - real, truly worthy (things, people)"
1869,アイデア,aidea - idea
1870,地下,chika - underground
1871,マーケット,ma-ketto - market
1872,スケジュール,sukeju-ru - schedule (loan word)
1873,出張,shucchou - business trip
1874,コック,"kokku - cook, chef"
1875,正午,shougo - noon
1876,ブラシ,burashi - brush
1877,書き取る,"kakitoru - write down, note down"
1878,歓迎,"kangei - welcome, greet"
1879,開発,kaihatsu - development
1880,郵便屋さん,yuubinyasan - mail carrier
1881,会長,"kaichou - president, chairperson"
1882,金,kin - gold
1883,灰,hai - ashes
1884,骨,hone - bone
1885,風呂屋,"furoya - bathhouse, public bath"
1886,細か,"komaka - small, fine, detailed"
1887,行き,"yuki - going, bound for (traditional reading)"
1888,人々,hitobito - people
1889,寺,tera - temple
1890,鶏,"niwatori - rooster, hen"
1891,港,"minato - port, harbor"
1892,移る,"utsuru - move, shift"
1893,異なる,kotonaru - differ
1894,提供,"teikyou - offer, provide"
1895,市民,shimin - citizens
1896,患者,kanja - patient
1897,元旦,"gantan - morning of the January 1st, New Year’s Day"
1898,柔らかい,"yawarakai - soft, gentle"
1899,似合う,"niau - suit, match well"
1900,確かめる,"tashikameru - check, confirm"
1901,背中,senaka - (one’s) back
1902,肌,"hada - human skin, surface"
1903,順番,"junban - order, turn"
1904,まとも,"matomo - sane, reasonable"
1905,ぴったり,"pittari - exactly right, perfect"
1906,思わず,"omowazu - unintentionally, unconsciously"
1907,より,"yori - even more ~, even less ~"
1908,もったいない,"mottainai - wasteful, a shame"
1909,情報,jouhou - information
1910,諦める,"akirameru - abandon, give up"
1911,懐かしい,"natsukashii - fondly-remembered, long-forgotten"
1912,怪しい,"ayashii - suspicious, dubious"
1913,示す,"shimesu - show, indicate"
1914,たっぷり,"tappuri - fully, amply"
1915,早速,"sassoku - immediately, right away"
1916,偶然,"guuzen - by chance, coincidence"
1917,続き,"tsuduki - continuation, sequel"
1918,合計,"goukei - sum, total"
1919,傷,"kizu - wound, scar"
1920,面倒,"mendou - troublesome, difficult"
1921,具合,"guai - condition, health"
1922,中止,"chuushi - suspension, cancellation"
1923,手続き,"tetsuduki - procedure, proceeding"
1924,結果,"kekka - result, outcome"
1925,建設,"kensetsu - construction (of a building, road, bridge, etc.)"
1926,販売,"hanbai - sale, selling"
1927,機能,"kinou - function, feature"
1928,頃,"koro - time, the time when ~"
1929,日中,Nicchuu - during the day
1930,今後,"Kongo - in the future, from now on"
1931,影響,"eikyou - influence, effect"
1932,分野,"bunya - field, area"
1933,関する,"kansuru - relate to, regarding"
1934,状態,"joutai - state, condition"
1935,価格,"kakaku - price, value"
1936,姿,"sugata - figure, appearance"
1937,期待,"kitai - expectation, anticipation"
1938,除く,"nozoku - remove, exclude"
1939,一般,"ippan - general, common"
1940,表現,hyougen - expression
1941,完成,"kansei - completion, finish making or building something"
1942,変化,"henka - change, alteration"
1943,参加,sanka - participation
1944,土地,tochi - land
1945,検討,kentou - examination and consideration
1946,開始,kaishi - beginning
1947,備える,"sonaete - provide for, prepare for"
1948,内容,naiyou - content
1949,与える,ataeru - give (formal)
1950,広がる,"hirogaru - spread out, extend"
1951,事実,"jijitsu - fact, truth"
1952,決定,kettei - decision
1953,住宅,"juutaku - housing, residence"
1954,代表,daihyou - representative
1955,命令,"meirei - command, order"
1956,立場,"tachiba - standpoint, position"
1957,なお,"Nao - still, in addition"
1958,計算,keisan - calculation
1959,可能,"kanou - possible, potential"
1960,報告,houkoku - report
1961,都市,"toshi - city, town"
1962,政治,seiji - politics
1963,競争,kyousou - competition
1964,原因,"genin - cause, origin"
1965,活動,katsudou - activity
1966,歴史,rekishi - history
1967,表,"hyou - table, list"
1968,サイト,saito - website
1969,土産,miyage - souvenir (plain)
1970,臭い,nioi - (bad) smell
1971,現金,genkin - cash
1972,虫,"mushi - insect, bug"
1973,寄る,"yoru - stop by, stop off"
1974,田舎,"inaka - hometown, countryside"
1975,帰宅,"kitaku - return home, come home"
1976,重大,"juudai - important, serious"
1977,マイナス,"mainasu - minus, below zero"
1978,稼ぐ,"kasegu - earn, make money"
1979,左右,sayuu - right and left
1980,痛み,"itami - pain, ache"
1981,誤解,gokai - misunderstanding
1982,文句,"monku - complaint, grumble"
1983,欧米,oubei - Europe and America
1984,面接,mensetsu - interview
1985,サイン,"sain - signature, autograph"
1986,年中,nenjuu - all year
1987,機嫌,"kigen - mood, health"
1988,居間,ima - living room
1989,度々,tabitabi - often
1990,例文,reibun - example sentence
1991,怠ける,"namakeru - be lazy, slack off"
1992,転勤,"tenkin - change of job location, relocation"
1993,政府,"seifu - government, administration"
1994,所有,"shoyuu - ownership, own"
1995,いずれ,"izure - sometime later, eventually"
1996,対する,"taisuru - face, be in response to"
1997,教会,kyoukai - church
1998,ご存知,gozonji - know (honorific)
1999,雀,suzume - sparrow
2000,適当,"tekitou - proper, adequate"
2001,残り,"nokori - rest, leftover"
2002,戻す,modosu - put (something) back
2003,体重,taijuu - body weight
2004,どうせ,douse - anyway
2005,あれこれ,"arekore - this and that, one thing or another"
2006,湖,mizuumi - lake
2007,とうとう,"toutou - finally, in the end"
2008,負け,"make - defeat, loss"
2009,悔しい,"kuyashii - frustrating, regrettable"
2010,姉妹,shimai - sisters
2011,助かる,"tasukaru - be helped, be rescued"
2012,手前,temae - in front
2013,さっぱり,sappari - completely not
2014,ついで,"tsuide - on the way, to take the opportunity"
2015,すっきり,sukkiri - refreshed
2016,とんでもない,"tondemonai - unthinkable, outrageous"
2017,坂,"saka - slope, hill"
2018,飛び込む,"tobikomu - dive into, jump into"
2019,コメント,komento - comment
2020,書き直す,kakinaosu - rewrite
2021,看護婦,kangofu - female nurse
2022,就職,"shuushoku - finding a job, getting a job"
2023,糸,"ito - thread, yarn"
2024,売り場,"uriba - sales floor, department"
2025,校長,"kouchou - principal, schoolmaster"
2026,見学,kengaku - field trip
2027,進学,shingaku - advance to higher education
2028,退院,taiin - discharge from hospital
2029,テント,tento - tent
2030,踊り,"odori - dance, dancing"
2031,植える,"ueru - plant, sow"
2032,幼稚園,youchien - kindergarten
2033,エアメール,eameeru - airmail
2034,四季,shiki - the four seasons
2035,ナイロン,nairon - nylon
2036,消防車,shoubousha - fire engine
2037,ハンドバッグ,handobaggu - handbag
2038,農業,nougyou - agriculture
2039,アイロン,airon - iron (for clothes)
2040,ラッシュアワー,rasshuawaa - rush hour
2041,速達,"sokutatsu - special delivery, express delivery"
2042,予習,"yoshuu - preparation, previewing (a lesson)"
2043,書留,kakitome - registered mail
2044,深さ,"fukasa - depth, profundity"
2045,ウィスキー,wisukii - whisky
2046,シャープペンシル,shaapupenshiru - mechanical pencil
2047,取引,"torihiki - transaction, deal"
2048,設ける,"moukeru - set up, establish"
2049,一定,"ittei - fixed, certain"
2050,記者,"kisha - journalist, reporter"
2051,基準,"kijun - standard, criterion"
2052,傾向,"keikou - tendency, disposition"
2053,契約,"keiyaku - contract, agreement"
2054,産業,sangyou - industry
2055,事情,"jijou - circumstances, conditions"
2056,実行,"jikkou - practice, execution"
2057,組織,"soshiki - organization, structure"
2058,逮捕,"taiho - arrest, capture"
2059,程度,"teido - degree, extent"
2060,同様,"douyou - similar, the same as"
2061,要求,"youkyuu - need, demand"
2062,貿易,boueki - (export and import) trade
2063,輸出,yushutsu - export
2064,商業,"shougyou - commerce, trade"
2065,船便,"funabin - surface mail, shipping service"
2066,選挙,senkyo - election
2067,住民,juumin - resident
2068,出席,"shusseki - attendance, presence"
2069,発言,"hatsugen - utterance, remark"
2070,伴う,"tomonau - accompany, entail"
2071,採用,"saiyou - employment, adoption"
2072,処理,"shori - handling, processing"
2073,解決,"kaiketsu - solution, settlement"
2074,全国,zenkoku - the whole country
2075,作業,"sagyou - work, operation"
2076,生産,seisan - production
2077,管理,"kanri - management, administration"
2078,増加,"zouka - increase, rise"
2079,特徴,"tokuchou - distinctive feature, characteristic"
2080,強調,"kyouchou - emphasis, stress"
2081,制度,seido - system
2082,株,"kabu - stock, share"
2083,加える,kuwaeru - add (things of the same or different kinds)
2084,強化,kyouka - strengthening
2085,設計,"sekkei - design, plan"
2086,段階,"dankai - stage, phase"
2087,行う,"okonau - do, carry out"
2088,経済,"keizai - economy, economics"
2089,工場,"koujou - factory, plant"
2090,技術,"gijutsu - skill, technology"
2091,施設,"shisetsu - facilities, institution"
2092,神,kami - God
2093,人口,jinkou - population
2094,党,"tou - party, faction"
2095,輸入,yunyuu - import
2096,煮る,"niru - simmer, cook"
2097,コンサート,konsaato - concert
2098,ガソリン,gasorin - gasoline
2099,パンツ,"pantsu - pants, trousers"
2100,そっくり,sokkuri - almost identical
2101,名刺,"meishi - business card, name card"
2102,いちいち,"ichiichi - every time, about everything"
2103,しつこい,"shitsukoi - persistent, pesky"
2104,喉,nodo - throat
2105,身長,shinchou - height
2106,何で,"nande - why, what for"
2107,味噌,miso - soybean paste
2108,気の毒,"kinodoku - pitiful, poor"
2109,そっと,"sotto - softly, gently"
2110,こっそり,kossori - secretly
2111,うっかり,"ukkari - carelessly, accidentally"
2112,わざと,wazato - on purpose
2113,がっかり,"gakkari - disappointed, disappointing"
2114,ぼんやり,"bonyari - vacantly, absent-mindedly"
2115,酢,su - vinegar
2116,羨ましい,"urayamashii - envious, jealous"
2117,捕まえる,"tsukamaeru - catch, arrest"
2118,ちっとも,chittomo - not at all
2119,親指,oyayubi - thumb
2120,通り過ぎる,"toorisugiru - go past, pass"
2121,屋上,"okujou - housetop, rooftop"
2122,蓋,"futa - lid, cover"
2123,いつの間にか,"itsunomanika - before noticing it, out of nowhere"
2124,象,zou - elephant
2125,嫌がる,"iyagaru - dislike, be unwilling"
2126,わがまま,wagamama - selfish
2127,徹夜,tetsuya - staying up all night
2128,まあまあ,"maamaa - now now, well well"
2129,ふざける,"fuzakeru - mess around, fool around"
2130,一度に,"ichidoni - all at once, at a time"
2131,頷く,unazuku - nod
2132,改札,kaisatsu - ticket gate
2133,手伝い,"tetsudai - help, assistance"
2134,とっくに,"tokkuni - long ago, already"
2135,洗剤,senzai - detergent
2136,手首,tekubi - wrist
2137,日帰り,higaeri - a day trip
2138,取り消す,torikesu - cancel
2139,あきれる,"akireru - be amazed at, be stunned by (something negative)"
2140,月末,getsumatsu - end of the month
2141,咳,seki - cough
2142,あいにく,"ainiku - unfortunately, we are afraid that"
2143,近寄る,"chikayoru - go near, approach"
2144,うろうろ,"urouro - in a loafing-about manner, not really knowing what to do"
2145,重たい,"omotai - heavy, serious"
2146,かじる,"kajiru - nibble, bite"
2147,長引く,"nagabiku - be prolonged, drag on"
2148,せっせと,"sesseto - diligently, hard"
2149,横切る,yokogiru - cut across
2150,取り替える,"torikaeru - change, replace"
2151,からかう,"karakau - make fun of, tease"
2152,好き嫌い,"sukikirai - likes and dislikes, taste"
2153,蒸し暑い,mushiatsui - hot and humid
2154,支度,"shitaku - preparation, getting ready"
2155,薄暗い,"usugurai - gloomy, dim"
2156,着替え,kigae - change of clothes
2157,ワンピース,wanpiisu - one-piece dress
2158,生年月日,seinengappi - year and date of birth
2159,虫歯,mushiba - cavity
2160,留守番,rusuban - looking after the house
2161,張り切る,"harikiru - go all out, be full of energy (to do something)"
2162,意地悪,"ijiwaru - mean, ill-natured"
2163,生意気,"namaiki - impudent, cocky"
2164,シーツ,shiitsu - bed sheet
2165,フライパン,furaipan - frying pan
2166,一人一人,hitorihitori - each and every person
2167,話し掛ける,"hanashikakeru - start a conversation, speak to (someone)"
2168,追い掛ける,"oikakeru - chase, run after"
2169,小指,"koyubi - little finger, little toe"
2170,ぴかぴか,"pikapika - shiny, glittering"
2171,中指,"nakayubi - middle finger, middle toe"
2172,まぶた,mabuta - eyelid
2173,面倒臭い,"mendoukusai - troublesome, tiresome"
2174,ゆでる,yuderu - boil
2175,できるだけ,dekirudake - as (much) as possible
2176,もしかしたら,"moshikashitara - possibly, perhaps"
2177,いつまでも,itsumademo - forever
2178,まぶしい,"mabushii - dazzling, glaring"
2179,おやつ,"oyatsu - snack, refreshment"
2180,空っぽ,karappo - empty
2181,ぶつぶつ,"butsubutsu - in a mutter, mumble"
2182,すっと,"sutto - (feel) refreshed, satisfied"
2183,図々しい,"zuuzuushii - impudent, cheeky"
2184,にっこり,nikkori - smiling brightly
2185,けち,"kechi - stingy, miser"
2186,追い付く,oitsuku - catch up with
2187,くしゃみ,kushami - sneeze
2188,冷ます,samasu - let cool
2189,だらしない,"darashinai - untidy, sloppy"
2190,甘やかす,"amayakasu - be indulgent to, spoil"
2191,いらいら,iraira - irritated
2192,薬指,kusuriyubi - ring finger
2193,のろのろ,"noronoro - slowly, sluggishly"
2194,ポイント,pointo - point
2195,工業,"kougyou - industry, the manufacturing industry"
2196,構造,"kouzou - construction, structure"
2197,さすが,"sasuga - just as expected, true to reputation"
2198,居眠り,"inemuri - doze, catnap"
2199,散らかす,chirakasu - make a mess
2200,濡らす,nurasu - get (something) wet
2201,日にち,hinichi - date (fixed for something)
2202,苛める,"ijimeru - bully, abuse"
2203,足下,"ashimoto - step, under foot"
2204,うさぎ,"usagi - rabbit, hare"
2205,紺,"kon - dark blue, navy blue"
2206,目茶苦茶,"mechakucha - in a mess, chaotic"
2207,立ち入り禁止,tachiirikinshi - no trespassing
2208,間もなく,"mamonaku - soon, in a short time"
2209,通帳,"tsuuchou - bankbook, passbook"
2210,しびれる,"shibireru - go numb, fall asleep"
2211,ぎっしり,"gisshiri - tightly, closely"
2212,うがい,ugai - gargling
2213,思い付く,"omoitsuku - think of, hit upon"
2214,宛名,"atena - name of recipient, addressee"
2215,戸棚,todana - cupboard
2216,焦げる,"kogeru - be burned, be scorched"
2217,かく,kaku - scratch
2218,威張る,"ibaru - be arrogant, be boastful"
2219,人混み,hitogomi - crowd
2220,ずらり,zurari - lining up neatly
2221,思い切り,"omoikiri - to one’s heart’s content, with all one’s might"
2222,青白い,aojiroi - pale
2223,しゃがむ,shagamu - squat down
2224,言葉遣い,"kotobadukai - wording, language"
2225,通り掛かる,toorikakaru - happen to pass by
2226,御無沙汰,gobusata - be out of touch
2227,市場,"shijou - market (industrial, financial, etc.)"
2228,データ,deeta - data
2229,購入,kounyuu - purchase
2230,ビジネス,bijinesu - business
2231,俺,ore - I (masculine sense)
2232,登録,touroku - registration
2233,体験,taiken - personal experience
2234,デザイン,dezain - design
2235,負担,"futan - burden, charge"
2236,詳細,"shousai - details, particulars"
2237,アップ,appu - close-up
2238,終了,"shuuryou - end, termination"
2239,ファン,"fan - fan, admirer"
2240,予想,"yosou - expectation, forecast"
2241,企画,"kikaku - planning, project"
2242,財政,"zaisei - public finance, financial affairs"
2243,総合,"sougou - integration, put together"
2244,ケース,keesu - case
2245,メーカー,"meekaa - maker, manufacturer"
2246,治療,chiryou - medical treatment
2247,読者,dokusha - reader
2248,職員,"shokuin - staff, employee"
2249,世代,sedai - generation
2250,視点,"shiten - viewpoint, perspective"
2251,効率,"kouritsu - efficiency, performance"
2252,資産,"shisan - property, assets"
2253,取り組む,"torikumu - work on, tackle"
2254,ルール,ruuru - rule
2255,資格,"shikaku - qualifications, competence"
2256,成果,seika - result
2257,前提,"zentei - assumption, premise"
2258,現地,"genchi - local, on-site"
2259,内部,"naibu - interior, inner parts"
2260,所得,"shotoku - income, earnings"
2261,恋愛,"renai - romance, relationship"
2262,支持,shiji - support
2263,危機,"kiki - crisis, danger"
2264,マスコミ,"masukomi - mass media, media"
2265,証拠,"shouko - proof, evidence"
2266,コーナー,"koonaa - section (of a store etc.), corner"
2267,マーク,maaku - logo
2268,減少,"genshou - decrease, decline"
2269,緊急,"kinkyuu - urgent, emergency"
2270,要望,"youbou - demand, request"
2271,ストレス,sutoresu - stress
2272,主催,"shusai - sponsorship, host"
2273,ベスト,besuto - best
2274,犠牲,"gisei - sacrifice, loss"
2275,暴力,"bouryoku - violence, force"
2276,赤字,"akaji - deficit, in the red"
2277,個性,"kosei - individuality, unique characteristics"
2278,作戦,"sakusen - tactic, strategy"
2279,ショック,shokku - shock
2280,アンケート,ankeeto - questionnaire
2281,わざわざ,wazawaza - going out of one’s way to do something
2282,本気,"honki - serious, earnest"
2283,悩み,"nayami - troubles, worries"
2284,上司,joushi - boss
2285,説得,settoku - persuasion
2286,ブーム,"buumu - fad, boom"
2287,体力,"tairyoku - physical strength, stamina"
2288,正常,seijou - normal
2289,ヒント,"hinto - hint, clue"
2290,地獄,jigoku - hell
